threshold,caption_selection_accuracy,delta_vs_primary,alternate_count,coverage,n_eval_records
0.0,0.9939024390243902,0.060975609756097504,328,1.0,328
0.5,0.9969512195121951,0.06402439024390238,326,0.9939024390243902,328
1.0,0.9878048780487805,0.05487804878048774,314,0.9573170731707317,328
1.5,0.9634146341463414,0.030487804878048697,184,0.5609756097560976,328
2.0,0.9512195121951219,0.018292682926829174,48,0.14634146341463414,328
2.5,0.9359756097560976,0.0030487804878048808,6,0.018292682926829267,328
3.0,0.9329268292682927,0.0,0,0.0,328
4.0,0.9329268292682927,0.0,0,0.0,328
5.0,0.9329268292682927,0.0,0,0.0,328
7.5,0.9329268292682927,0.0,0,0.0,328
10.0,0.9329268292682927,0.0,0,0.0,328
