threshold,caption_selection_accuracy,delta_vs_primary,alternate_count,coverage,n_eval_records
0.0,0.7244501940491591,-0.011642949547218673,766,0.9909443725743855,773
0.5,0.7529107373868047,0.01681759379042691,681,0.8809831824062095,773
1.0,0.7606727037516171,0.02457956015523932,609,0.7878395860284605,773
1.5,0.7671410090556274,0.031047865459249646,446,0.5769728331177232,773
2.0,0.7606727037516171,0.02457956015523932,273,0.35316946959896506,773
2.5,0.7438551099611902,0.0077619663648124115,66,0.08538163001293661,773
3.0,0.7360931435963778,0.0,1,0.00129366106080207,773
4.0,0.7360931435963778,0.0,0,0.0,773
5.0,0.7360931435963778,0.0,0,0.0,773
7.5,0.7360931435963778,0.0,0,0.0,773
10.0,0.7360931435963778,0.0,0,0.0,773
