threshold,caption_selection_accuracy,delta_vs_primary,alternate_count,coverage,n_eval_records
0.0,0.7698907956318253,-0.0226209048361935,1277,0.9960998439937597,1282
0.5,0.7917316692667706,-0.0007800312012481436,1150,0.8970358814352574,1282
1.0,0.8151326053042122,0.02262090483619339,774,0.6037441497659907,1282
1.5,0.7940717628705148,0.0015600624024960652,372,0.29017160686427457,1282
2.0,0.7956318252730109,0.0031201248049921304,246,0.1918876755070203,1282
2.5,0.7932917316692668,0.0007800312012480326,24,0.0187207488299532,1282
3.0,0.7925117004680188,0.0,0,0.0,1282
4.0,0.7925117004680188,0.0,0,0.0,1282
5.0,0.7925117004680188,0.0,0,0.0,1282
7.5,0.7925117004680188,0.0,0,0.0,1282
10.0,0.7925117004680188,0.0,0,0.0,1282
