threshold,caption_selection_accuracy,delta_vs_primary,alternate_count,coverage,n_eval_records
0.0,0.684346701164295,-0.05174644243208282,773,1.0,773
0.5,0.684346701164295,-0.05174644243208282,773,1.0,773
1.0,0.684346701164295,-0.05174644243208282,772,0.9987063389391979,773
1.5,0.684346701164295,-0.05174644243208282,771,0.9974126778783958,773
2.0,0.685640362225097,-0.05045278137128073,770,0.9961190168175937,773
2.5,0.685640362225097,-0.05045278137128073,770,0.9961190168175937,773
3.0,0.684346701164295,-0.05174644243208282,768,0.9935316946959897,773
4.0,0.685640362225097,-0.05045278137128073,766,0.9909443725743855,773
5.0,0.6869340232858991,-0.04915912031047864,760,0.9831824062095731,773
7.5,0.6869340232858991,-0.04915912031047864,745,0.963777490297542,773
10.0,0.7011642949547219,-0.03492884864165591,704,0.9107373868046572,773
