threshold,caption_selection_accuracy,delta_vs_primary,alternate_count,coverage,n_eval_records
0.0,0.6708268330733229,-0.12168486739469586,1282,1.0,1282
0.5,0.6747269890795632,-0.11778471138845559,1274,0.9937597503900156,1282
1.0,0.6770670826833073,-0.11544461778471149,1269,0.9898595943837754,1282
1.5,0.6809672386895476,-0.11154446177847122,1257,0.9804992199687987,1282
2.0,0.6840873634945398,-0.10842433697347897,1248,0.9734789391575663,1282
2.5,0.6856474258970359,-0.10686427457098291,1240,0.9672386895475819,1282
3.0,0.6887675507020281,-0.10374414976599067,1234,0.9625585023400937,1282
4.0,0.6957878315132605,-0.09672386895475826,1216,0.9485179407176287,1282
5.0,0.7004680187207488,-0.09204368174726996,1202,0.9375975039001561,1282
7.5,0.7082683307332294,-0.08424336973478941,1173,0.9149765990639626,1282
10.0,0.7269890795631825,-0.06552262090483629,1123,0.87597503900156,1282
